,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
43,plasma,gas,liquid,solid,shellac,paste,rout,cut,stale,crush,least,trash,undo,copy,tesla,slate,,,,
44,plane,boat,train,car,sonic,sabbath,sun,thunder,magic,checkers,stripes,king,outback,floyd,day,day,,,,
45,,,,,,,,,,,,,,,,,,,,
46,grassland,forest,tundra,desert,iguana,gecko,cobra,monitor,warrior,nae,can,cha,lotus,grassland,tree,chameleon,,,,
47,linen,rib,corduroy,twear,scar,specter,phantom,spirit,needle,tease,stitch,denim,beast,genie,poke,ghost,,,,
48,mother,aunt,cousin,grandmother,kooky,quirky,wacky,dewey,donald,scrooge,nephew,grandfather,alarm,biological,dewey,daisy,,,,
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,oil,tempera,watercolor,dim,nick,quart,acrylic,,,,
50,hero,scott,lost boys,bumble,grinder,match,blade,tinder,twilight,near dark,west,sub,hoagie,ant,driver,hinge,,,,
51,mouse,keyboard,rat,hamster,organ,vietnam,triangle,moan,grouse,speaker,harp,volpe,carp,gripe,horn,gerbil,,,,
52,pride,colony,family,high,blazed,swarm,herd,order,bio,lit,stats,class,domain,chem,baked,gov,,,,
53,,,,,,,,,,,,,,,,,,,,
54,top,puck,hockey,yo-yo,blocks,memory,giggle,eggnog,duncan,leggings,viola,selfie,doll,fish,juliet,baggage,,,,
55,,,,,,,,,,,,,,,,,,,,
56,kiss,lie,romance,tale,fib,horror,whopper,stripes,plaid,paisley,western,houndstooth,fiction,goober,dot,musical,,,,
57,"['spider', 'mite', 'black widow', 'scorpion']","['flash', 'shark', 'storm', 'cribs']","['jackass', 'perch', 'eel', 'catfish']",[],,,,,,,,,,,,,,,,
58,pair,post,globe,journal,moon,comet,planet,sun,few,several,handful,lyme,asteroid,asteroid,plumb,mellon,,,,
59,saw,charm,ring,pendant,please,delight,field,court,purge,bangle,anklet,,,,,,,,,
60,hawking,einstein,oppenheimer,feynman,barbie,gift,mate,match,selling,flair,west,faculty,crikey,bush,moot,honey,,,,
61,"['me', 'na', 'ma', 'ti']","['pi', 'la', 'mu', 'xi']","['co', 'fa', 'he', 'nu']","['pa', 'do', 'ma', 'fe']",,,,,,,,,,,,,,,,
62,snap,plank,buckle,zip,obvious,nothing,nada,curl,squat,press,planet,button,crunch,kangaroo,lunge,jack,,,,
63,,,,,,,,,,,,,,,,,,,,
64,plasma,fire,gas,air,tree,steam,spirit,vigor,solid,liquid,wedding,circus,saturn,earth,juice,plasma,,,,
65,,,,,,,,,,,,,,,,,,,,
66,pie,cake,tart,cobbler,miller,mason,smith,fisher,one,twist,root,dance,fudge,distort,meal,doctor,,,,
67,pint,cup,quart,gallon,sterling,pound,super,real,quite,rand,very,won,carrot,coffee,sponge,awful,,,,
68,mate,slide,clog,herb,bud,mary jane,chum,grass,skillet,pot,wok,weed,pal,pump,crock,wedge,,,,
69,,,,,,,,,,,,,,,,,,,,
70,arizona,colorado,kansas,utah,mug,squirt,sprite,yes,genesis,hawk,nevada,rush,soprano,stark,crush,montana,,,,
71,singer,actor,stand-up,dancer,heart,cupid,vixen,rose,santa,dasher,boys,lieutenant,card,chocolate,taste,comets,,,,
72,,,,,,,,,,,,,,,,,,,,
73,mastodon,outfit,x,duds,dodo,smooch,trilobite,misses,flops,turkeys,threads,getup,mammoth,peck,smack,busts,,,,
74,party,bash,shindig,blowout,whale,bunny,egg,woodcarver,island,range,sink,wood,mixer,cricket,counter,puppet,,,,
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business,,,,
76,tender,snare,breast,swimming,hole,eagle,wing,cymbal,stroke,tom,ticker,drumstick,,,,,,,,
77,heaven,paradise,cloud nine,bliss,shake,wave,guest,hustle,top ten,fast one,racket,bucket,high five,hug,con,wish,,,,
78,run,nyx,lynx,ibex,cyber,ebony,raven,oryx,fat,bounce,ash,black,jet,fox,book,split,,,,
79,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,tumbler,goblet,coffee,olds,oboe,flute,saxophone,bishop,pound,fricassee,snifter,balloon,frost,clarinet,bassoon,steiner,,,,
82,nude,bare,unclad,naked,sack,file,muffin,danish,fumble,turnover,snap,polish,buff,clip,punt,bun,,,,
83,"['hen', 'cow', 'mare', 'doe']","['it', 'you', 'we', 'they']","['m', 'u', 'l', 'i']","['d', 'v', 'yew', 'ewe']",,,,,,,,,,,,,,,,
84,easel,brush,park,canvas,saw,high,lawn,folding,neutral,palette,comb,reverse,zipper,drive,first,gear,,,,
85,graph,chart,map,diagram,stuffing,icing,extra,gravy,montero,perk,turkey,satisfaction,istanbul,pie,bonus,i ran,,,,
86,ogre,gnome,troll,goblin,petal,leaf,stalk,bud,rabbit,tiger,horse,mole,agent,spy,goblin,dragon,,,,
87,"{'items': ['rocky', 'sally', 'horror', 'max']}","{'items': ['roger', 'rabbit', 'show', 'harry']}","{'items': ['who', 'when', 'road', 'picture']}","{'items': ['fury', 'mad', 'met', 'framed']}",,,,,,,,,,,,,,,,
88, spirit,essence,soul,sake,scotch,port,stout,cider,coco,red,brave,cars,ticker,heart,demo,up,,,,
89,safe,ball,walk,flounder,kiln,furnace,oven,forge,strike,salmon,carp,yolk, colonelsaltfishout,,,,,,,
90,jaguar,capybara,lion,foot,hair,bottom,toucan,company,anaconda,legs,change,foundation,cucumber,grease,base,rent,,,,
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,bar,22,451,24,,,,
92,,,,,,,,,,,,,,,,,,,,
93,leave,peon,get out,scram,nepo,us,them,ya,return,pone,go,beanie,open,fur,me,santa,,,,
94,pupil,iris,retina,lens,over,phony,sham,bogus,michelle,roger,stan,alejandro,copy,out,lola,fake,,,,
95,,,,,,,,,,,,,,,,,,,,
96,giant,wolf,witch,queen,charlie,pigpen,mate,cork,new york,woodstock,peppermint patty,gambit,bishop,lucy,peppermint patty,rock 'n roll,,,,
97,apricot,grape,lime,berry,lavish,opulent,swank,deluxe,naive,unwell,envious,fresh,stone,fig,foster,berry,,,,
98,quick,bright,sharp,intelligent,outlaw,cowboy,marshal,drifter,southwest,frontier,alaska, mars,rogers,spirit,lasso,clever,,,,
99,,,,,,,,,,,,,,,,,,,,
