,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
24,"['mousse', 'cheesecake', 'fudge', 'tiramisu']","['pencil', 'heck', 'shoot', 'darn']","['narwhal', 'elephant', 'warthog', 'hippo']","['horseshoe', 'helmhandle', 'walrus', 'pencil']",,,,,,,,,,,,,,,,
25,poland,denmark,portugal,greece,petty,mild,mimic,echo,cruise,parrot,waits,cancel,dill,livid,holland,copy,,,,
26,fedora,page,beret,cover,pot,liver,kidney,lung,fez,spine,rabbit,jacket,bowler,ass,knife,heart,,,,
27,grumpy,bashful,tiff,happy,ostrich,emu,penguin,happy,pdf,doc,zip,kiwi,mango,pineapple,banana,coconut,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,"['pepper', 'phone', 'mobile', 'mac']","['cucumber', 'tomato', 'eggplant', 'lima']","['pyramid', 'cube', 'sphere', 'cone']",['pad'],,,,,,,,,,,,,,,,
31,sole,heel,duckie,toe,ryan,sorry,risk,trouble,tongue,bond,smart,soul,lace,band,cement,hunt,,,,
32,,,,,,,,,,,,,,,,,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,boar,rock,country,shoot, blues,soul,,,,
34,,,,,,,,,,,,,,,,,,,,
35,wallaby,kangaroo,mole rat,wombat,paper,mars,stacks,mounds,crunch,cheddar,dough,chunky,truth,eye,gun, koala,,,,
36,otter,dolphin,seal,hawk,peddle,chain,saddle,spoke,malt,vend,tong,chin,manatee,cub,move,brake,,,,
37,maple,ash,pine,elm,plain,plateau,mountain,valley,poppy,sesame,cedar,onion,jump,fear,hill,everything,,,,
38,"['newton', 'hertz', 'clock', 'watch']","['bob', 'pepper', 'evil', 'j']","['crop', 'second', 'hourglass', 'no']","['sundial', 'pixie', 'shag', 'mole']",,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,fiji,malta,cuba,sam,java,joe,lucky,pop,dasani,evotion,mug,voss,palau,japan,tony,brew,,,,
41,"['snorkel', 'fins', 'mask', 'jungle']","['race', 'sprint', 'dash', 'bolt']","['house', 'tank', 'period', 'comma']","['doja', 'fat', 'colon', 'snorkel']",,,,,,,,,,,,,,,,
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,puffin,beach,beastie,sunflower,banana,lost,school bus,,,,
43,,,,,,,,,,,,,,,,,,,,
44,plane,sonic,train,subway,boat,sabbath,checkers,day,magic,thunder,stripes,floyd,car,king,outback,monkey,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,"['linen', 'rib', 'corduroy', 'scar']","['specter', 'phantom', 'tweed', 'needle']","['tease', 'stitch', 'denim', 'beast']","['genie', 'poke', 'ghost', 'spirit']",,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,tempera,watercolor,acrylic,oil,quart,dim,nick,,,,
50,grinder,hero,scott,blade,near dark,tinder,west,twilight,match,hinge,sub,driver,ant,hoagie,bumble,lost boys,,,,
51,"['mouse', 'keyboard', 'rat', 'hamster']","['organ', 'speaker', 'harp', 'monitor']","['grouse', 'carp', 'gripe', 'horn']","['vole', 'triangle', 'moan', 'gerbil']",,,,,,,,,,,,,,,,
52,"['pride', 'colony', 'family', 'high']","['gov', 'order', 'stats', 'class']","['blazed', 'swarm', 'herd', 'baked']","['bio', 'lit', 'domain', 'chem']",,,,,,,,,,,,,,,,
53,shrine,altar,temple,abbey,garfield,calvin,tom,harry,rocky,sylvester,felix,high,silken,reliquary,chester,grover,,,,
54,top,puck,blocks,hockey,memory,giggle,eggnog,yo-yo,duncan,leggings,viola,selfie,doll,fish,juliet,baggage,,,,
55,frogger,swing,matt,hustle,asteroids,pong,chainz,swipe,pac,salsa,tap,bounce,,,,,,,,
56,romance,kiss,tales,western,plaid,paisley,stripes,houndstooth,lie,fib,goober,whopper,fiction,musical,dot,romance,,,,
57,,,,,,,,,,,,,,,,,,,,
58,several,few,Commet,same,post,planet,sun,moon,handful,pair,lyme,mellon,journal,asteroid,globe,asteroid,,,,
59,saw,pendant,ring,anklet, Broom,field,diamond,charm,please,scream,delight,court,purge,tickle,rink,bangle,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,snap,button,zip,curl,plank,squat,lunge,press,buckle,obvious,nada,curl,jack,kangaroo,crunch,planet,,,,
63,rover,fly,fido,chum,shirt,observe,notice,see,bait,sinker,spot,bone,lucky,rex,storm,catch,,,,
64,plasma,gas,steam,air,fire,liquid,spirit,vigor,tree,earth,wedding,juice,,,,,,,,
65,millennium,century,decade,year,munch,pancake,omelet,waffle,bacon,egg,rose,close,juror,whistler,cereal,munch,,,,
66,"['pie', 'cake', 'tart', 'baker']","['fudge', 'one', 'miller', 'smith']","['mason', 'cobbler', 'doctor', 'fisher']","['distort', 'twist', 'root', 'dance']",,,,,,,,,,,,,,,,
67,pint,cup,quart,gallon,sterling,pound,real,awful,super,quite,very,won,carrot,coffee,sponge,rand,,,,
68,mate,buddy,chum,pal,slide,pot,skillet,wok,bud,grass,herb,weed,mary jane,pump,clog,crock,,,,
69,sleeping bag,tent,meal,camper,small,medium,meter,hour,cooler,jab,wee,slight,diss,dig,barb,lantern,,,,
70,"['arizona', 'colorado', 'kansas', 'montana']","['nevada', 'rush', 'soprano', 'stark']","['mug', 'squirt', 'sprite', 'yes']","['genesis', 'hawk', 'rush', 'crush']",,,,,,,,,,,,,,,,
71,singer,actor,stand-up,card,santa,dasher,cupid,rose,taste,dancer,boys,chocolate,heart,lieutenant,comet,vixen,,,,
72,mustache,beard,stubble,goatee,tail,pedal,handlebar,wheel,shadow,dog,track,doubt,vote,movie,follow,gear,,,,
73,mastodon,outfits,flops,duds,dodo,trilobite,mammoth,peck,smooch,misses,turkeys,threads,x,getup,busts,smack,,,,
74,"['party', 'bash', 'shindig', 'blowout']","['whale', 'island', 'range', 'woodcarver']","['mixer', 'puppet', 'counter', 'egg']","['bunny', 'cricket', 'sink', 'sunday']",,,,,,,,,,,,,,,,
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business,,,,
76,tender,eagle,wing,drumstick,snare,hole,cymbal,tom,breast,infant,kick,driver,swimming,ticker,ppub, Stroke,,,,
77,heaven,paddle,top ten,paradise,hustle,fast one,wave,bucket,shake,high five,hug,guest,bliss,racket,con,wish,,,,
78,,,,,,,,,,,,,,,,,,,,
79,slide,swing,seesaw,sway,eye,ankh,crook,clout,sandbox,weight,times,impact,papyrus,pull,courier,scarab,,,,
80,popper,nick,wing,chip,flap,right,correct,yes,lumber,nacho,cracker,ding,apple,scratch,bingo,pop,,,,
81,tumbler,coffee,goblet,olds,oboe,flute,saxophone,bishop,pound,fricassee,snifter,frost,balloon,bassoon,clarinet,stein,,,,
82,"['nude', 'sack', 'bare', 'unclad']","['muffin', 'danish', 'turnover', 'bun']","['fumble', 'snap', 'polish', 'buff']","['clip', 'punt', 'naked', 'file']",,,,,,,,,,,,,,,,
83,hen,cow,mare,ewe,you,they,we,I,m,d,v,u,l,i,yew,doe,,,,
84,easel,brush,palette,canvas,saw,park,lawn,zipper,high,neutral,reverse,first,comb,folding,gear,drive,,,,
85,"['chart', 'diagram', 'graph', 'map']","['icing', 'gravy', 'montero', 'extra']","['perk', 'bonus', 'satisfaction', 'turkey']","['stuffing', 'pie', 'i ran', 'istanbul']",,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,max,harry,road,who,horror,show,rabbit,fury,rocky,sally,met,framed,roger,max,mad,when,,,,
88,,,,,,,,,,,,,,,,,,,,
89,safe,walk,ball,colonel,flounder,carp,salmon,catfish,kiln,furnace,oven,forge,strike,smelt,yolk,out,,,,
90,jaguar,anaconda,lion,capybara,hair,foot,bottom,leg,company,foundation,rent,change,cucumber,grease,base,change,,,,
91,"{'items': ['pumpkin', 'bell', 'bat', '2001'], 'connection': 'Halloween elements'}","{'items': ['firefly', 'bones', 'tombstone', '7'], 'connection': 'Halloween creatures or symbols'}","{'items': ['cherry', '20,000', 'cobweb']}",,,,,,,,,,,,,,,,,
92,coffee,tea,cocoa,chai,meow,cluck, bark,oink,accuracy,trunk,skinny,branch,root,scoop,dirt,dish,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,goat,buffalo,sheep,cow,rings,excel,shine,vault,radiate,glow,seedy,beam,floor,envy,cutie,horse,,,,
96,"['witch', 'giant', 'queen', 'wolf']","['pigpen', 'mate', 'new york', 'peppermint patty']","['gambit', 'charlie', 'bishop', ""rock 'n roll""]",,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,quick,southwest,frontier,cowboy,bright,sharp,spirit,sheriff,outlaw,rogers,drifter,alaska,smart,clever,lasso,mars,,,,
99,"['tab', 'relation', 'bookmark', 'window']","['laundry', 'cuff', 'collar', 'pocket']","['bond', 'tie', 'martini', 'history']","['dozen', 'joke', 'link', 'button']",,,,,,,,,,,,,,,,
