,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
81,tumbler,goblet,coffee,olds,oboe,flute,saxophone,bishop,stein,snifter,balloon,bassoon,frost,clarinet,pound,fricassee,,,,
82,nude,bare,unclad,naked,sack,file,muffin,danish,fumble,turnover,snap,polish,buff,clip,punt,bun,,,,
83,hen,cow,mare,ewe,m,yew,they,it,d,we,v,you,l,i,doe,u,,,,
84,easel,brush,park,canvas,saw,high,neutral,folding,comb,reverse,gear,drive,palette,lawn,first,zipper,,,,
85,graph,chart,map,diagram,stuffing,icing,extra,pie,montero,perk,turkey,satisfaction,gravy,hurts,jewel,om,,,,
86,ogre,gnome,troll,goblin,plant,petal,leaf,stalk,agent,spy,tiger,horse,mole,bud,carrot,hurts,,,,
87,,,,,,,,,,,,,,,,,,,,
88,spirit,scotch,port,sake,coco,essence,soul,brave,stout,up,ticker,heart,cars,cider,red,demo,,,,
89,safe,ball,walk,kiln,flounder,carp,salmon,catfish,strike,oven,smelt,forge,yolk,out,colonel,furnace,,,,
90,jaguar,lion,capybara,legs,hair,foot,bottom,toucan,company,foundation,rent,change,cucumber,grease,base,anaconda,,,,
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,22,451,bar,24,,,,
92,coffee,chai,tea,cocoa,root,scoop,bark,trunk,meow,cluck,oink,buzz,dish,branch,dirt,skinny,,,,
93,leave,peon,get out,nepo,us,them,scram,nope,you,pone,santa,go,beanie,fur,open,me,,,,
94,pupil,iris,lens,retina,over,phony,fake,sham,michelle,roger,stan,alejandro,out,bogus,copy,lola,,,,
95,goat,buffalo,sheep,cow,rings,excel,glow,shine,radiate,seedy,envy,beam,floor,vault,cutie,horse,,,,
96,witch,giant,queen,wolf,pigpen,charlie,new york,woodstock,gambit,mate,peppermint patty,bishop,rock 'n roll,you,lucy,return,,,,
97,grape,apricot,lime,berry,stone,lavish,grand,opulent,naive,swank,unwell,envious,fresh,foster,deluxe,fig,,,,
98,quick,outlaw,bright,rogers,southwest,frontier,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,drifter,alaska,,,,
99,tab,bookmark,window,link,relation,bond,history,joke,cuff,collar,pocket,tie,laundry,dozen,button,martini,,,,
