,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name,group4_members5
58,several,pair,some,few,moon,planet,sun,globe,asteroid,comets,plumb,lyme,journal,mellon,handful,a,,,,,period
59,saw,field,charm,pendant,please,scream,tickle,delight,purge,diamond,ring,anklet,brooch,bangle,court,rink,,,,,
60,"['hawking', 'einstein', 'oppenheimer', 'feynman']","['crikey', 'mate', 'west', 'bush']","['selling', 'gift', 'match', 'faculty']",[],,,,,,,,,,,,,,,,,
61,me,pi,co,na,la,fa,pa,mu,ti,xi,ni,ma,fe,he,nu,do,,,,,
62,snap,plank,buckle,zip,obvious,nothing,nada,curl,squat,press,lunge,crunch,planet,button,kangaroo,jack,,,,,
63,rover,fido,chum,rex,shirt,fly,spot,bone,observe,notice,see,catch,bait,sinker,storm,lucky,,,,,
64,plasma,fire,gas,steam,tree,air,vigor,water,wedding,circus,earth,saturn,,,,,,,,,
65,millennium,century,decade,year,munch,pancake,omelet,bacon,rose,egg,juror,close,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,
67,"['pint', 'cup', 'quart', 'gallon']","['sterling', 'pound', 'won', 'real']","['quite', 'super', 'very', 'awful']","['carrot', 'coffee', 'sponge', 'rand']",,,,,,,,,,,,,,,,,
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,chum,pump,crock,pal,,,,,
69,"['sleeping bag', 'tent', 'cooler', 'meal']","['diss', 'jab', 'wee', 'barber']","['small', 'medium', 'hour', 'minute']","['dig', 'slight', 'camper', 'lantern']",,,,,,,,,,,,,,,,,
70,nevada,arizona,utah,colorado,rush,soprano,sprite,squirt,mug,stark,hawk,crush,genesis,kansas,montana,yes,,,,,
71,"['singer', 'actor', 'stand-up', 'comedian']","['heart', 'cupid', 'rose', 'chocolate']","['santa', 'dasher', 'vixen', 'boys']","['card', 'taste', 'lieutenant', 'dancer']",,,,,,,,,,,,,,,,,
72,"['mustache', 'beard', 'stubble', 'goatee']","['tail', 'pedal', 'wheel', 'track']","['shadow', 'dog', 'doubt', 'movie']","['vote', 'follow', 'gear', 'movie']",,,,,,,,,,,,,,,,,
73,mastodon,outfit,duds,flops,misses,smack,peck,getup,trilobite,dodo,mammoth,x,smooch,threads,turkeys,busts,,,,,
74,party,bash,shindig,retinue,whale,island,woodcarver,blowout,range,mixer,counter,egg,cricket,bunny,puppet,sunday,,,,,
75,"['taboo', 'nike', 'risk', 'killer']","['opinion', 'national', 'trouble', 'atlas']","['style', 'paris', 'notorious', 'sorry']","['foxy', 'gucci', 'hermes', 'business']",,,,,,,,,,,,,,,,,
76,tender,snare,breast,swimming,hole,eagle,wing,cymbal,stroke,tom,ticker,drumstick,infant,pub,kick,driver,,,,,
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,top ten,racket,wave,bucket,guest,hug,con,wish,,,,,
78,run,onyx,ibex,fox,book,cyber,raven,ash,lynx,ebony,fat,jet,bounce,split,black,bounce,,,,,
79,slide,swing,seesaw,papyrus,eye,ankh,scarab,times,sandbox,sway,pull,weight,courier,impact,crook,clout,,,,,
80,popper,nick,wing,chip,fry,flap,right,correct,yes,scratch,lumber,nacho,apple,cracker,ding,bingo,,,,,
81,tumbler,coffee,goblet,olds,oboe,flute,saxophone,bishop,bassoon,fricassee,snifter,pound,clarinet,balloon,frost,tumbler,,,,,
82,nude,bare,unclad,naked,sack,muffin,danish,bun,file,fumble,turnover,punt,polish,buff,clip,snap,,,,,
83,hen,cow,mare,ewe,they,you,we,it,hen,yew,doe,u,cow,mare,ewe,l,,,,,
84,easel,brush,park,palette,saw,comb,lawn,zipper,high,neutral,first,folding,gear,drive,canvas,reverse,,,,,
85,graph,chart,map,diagram,stuffing,icing,gravy,pie,montero,perk,turkey,satisfaction,extra,i ran,istanbul,bonus,,,,,
86,ogre,gnome,troll,goblin,plant,petal,leaf,stalk,rabbit,spy,tiger,horse,petal,bud,dragon,mole,,,,,
87,,,,,,,,,,,,,,,,,,,,,
88,spirit,scotch,port,sake,essence,soul,brave,heart,coco,stout,cars,cider,ticker,demo,red,up,,,,,
89,"['safe', 'ball', 'walk', 'colonel']","['flounder', 'carp', 'salmon', 'catfish']","['kiln', 'furnace', 'oven', 'forge']","['strike', 'smelt', 'yolk', 'out']",,,,,,,,,,,,,,,,,
90,jaguar,foot,legs,anaconda,toucan,bottom,company,foundation,capybara,rent,change,lion,cucumber,grease,base,hair,,,,,
91,"['pumpkin', 'bell', 'bat', '2001']","['firefly', 'bones', 'tombstone', '7']","['cherry', '20,000', 'cobweb', '22']","['bar', '451', '24', 'weeds']",,,,,,,,,,,,,,,,,
92,coffee,chai,tea,cocoa,root,scoop,bark,trunk,meow,cluck,oink,buzz,dishes,dirt,branch,skinny,,,,,
93,leave,peon,get out,scram,nepo,us,them,you,pone,santa,go,beanie,fur,open,me,nope,,,,,
94,"['pupil', 'iris', 'retina', 'lens']","['over', 'phony', 'sham', 'bogus']","['michelle', 'roger', 'stan', 'alexandra']","['Lola', 'copy', 'out', 'fake']",,,,,,,,,,,,,,,,,
95,"['goat', 'sheep', 'cow', 'horse']","['rings', 'vault', 'excel', 'seedy']","['buffalo', 'radiate', 'glow', 'shine']","['floor', 'cutie', 'envy', 'beam']",,,,,,,,,,,,,,,,,
96,witch,giant,queen,wolf,pigpen,gambit,mate,charlie,rock 'n roll,woodstock,new york,you,peppermint patty,bishop,princess,lucy,,,,,
97,apricot,grape,lime,fig,lavish,opulent,swank,grand,naive,unwell,envious,fresh,deluxe,foster,stone,berry,,,,,
98,quick,outlaw,bright,rogers,southwest,frontier,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,drifter,alaska,,,,,
99,tab,bookmark,cuff,collar,relation,bond,history,link,laundry,pocket,tie,martini,window,dozen,joke,button,,,,,
